image_path,label,racun_id
synthetic/synth_cyr_00000.png,Број рачуна,synth_cyr_00000
synthetic/synth_cyr_00001.png,Накнада за уређење 50.00% 624.65 kWh,synth_cyr_00001
synthetic/synth_cyr_00002.png,90.00%,synth_cyr_00002
synthetic/synth_cyr_00003.png,Црвена зона 816268862818,synth_cyr_00003
synthetic/synth_cyr_00004.png,Утрошено двотарифно 23.09.2020.-23.09.2020.,synth_cyr_00004
synthetic/synth_cyr_00005.png,Уплатилац 08.06.2022.-08.06.2022. 50.00%,synth_cyr_00005
synthetic/synth_cyr_00006.png,346546508952597,synth_cyr_00006
synthetic/synth_cyr_00007.png,Основица,synth_cyr_00007
synthetic/synth_cyr_00008.png,Прималац =3708.84 Din.,synth_cyr_00008
synthetic/synth_cyr_00009.png,Извештај о уплати 41057086165 15.00%,synth_cyr_00009
synthetic/synth_cyr_00010.png,8214.96,synth_cyr_00010
synthetic/synth_cyr_00011.png,ПДВ 595.23 kWh,synth_cyr_00011
synthetic/synth_cyr_00012.png,406.59 kWh,synth_cyr_00012
synthetic/synth_cyr_00013.png,Накнада за гас,synth_cyr_00013
synthetic/synth_cyr_00014.png,Цена,synth_cyr_00014
synthetic/synth_cyr_00015.png,Електрична енергија 100.00%,synth_cyr_00015
synthetic/synth_cyr_00016.png,Период,synth_cyr_00016
synthetic/synth_cyr_00017.png,Утрошено двотарифно,synth_cyr_00017
synthetic/synth_cyr_00018.png,Рок плаћања,synth_cyr_00018
synthetic/synth_cyr_00019.png,Услуга 15.00%,synth_cyr_00019
synthetic/synth_cyr_00020.png,Адреса 100.00%,synth_cyr_00020
synthetic/synth_cyr_00021.png,Укупно за рачун,synth_cyr_00021
synthetic/synth_cyr_00022.png,Прималац 5.00%,synth_cyr_00022
synthetic/synth_cyr_00023.png,Период 0243506282894316,synth_cyr_00023
synthetic/synth_cyr_00024.png,Услуга 84017901922016 4073.31,synth_cyr_00024
synthetic/synth_cyr_00025.png,Цена 10.00% =9117.29 Din.,synth_cyr_00025
synthetic/synth_cyr_00026.png,Назив и врста услуге 27.08.2022.-27.08.2022.,synth_cyr_00026
synthetic/synth_cyr_00027.png,2347324906,synth_cyr_00027
synthetic/synth_cyr_00028.png,Услуга 124.07 kWh,synth_cyr_00028
synthetic/synth_cyr_00029.png,"Број рачуна 100.00% 350,644.00",synth_cyr_00029
synthetic/synth_cyr_00030.png,Поштански број,synth_cyr_00030
synthetic/synth_cyr_00031.png,Количина,synth_cyr_00031
synthetic/synth_cyr_00032.png,Одношење смећа 03.07.2023.,synth_cyr_00032
synthetic/synth_cyr_00033.png,Телефонска услуга 547.68 kWh 47.01 din,synth_cyr_00033
synthetic/synth_cyr_00034.png,Позив на број 25.00%,synth_cyr_00034
synthetic/synth_cyr_00035.png,394183974755260,synth_cyr_00035
synthetic/synth_cyr_00036.png,Шифра плаћања 100.00% 91.53 din,synth_cyr_00036
synthetic/synth_cyr_00037.png,Грејање стана 67.28 kWh,synth_cyr_00037
synthetic/synth_cyr_00038.png,Укупно за рачун,synth_cyr_00038
synthetic/synth_cyr_00039.png,Тарифа 25.00% 6777.99,synth_cyr_00039
synthetic/synth_cyr_00040.png,Порез на имовину 22.02.2020.-22.02.2020. 362.32 kWh,synth_cyr_00040
synthetic/synth_cyr_00041.png,Накнада за уређење,synth_cyr_00041
